Anio;Mes;Dia;Caterpillar;Ferrari;Volkswagen;Boeing;RollsRoyce
2016;11;5; 83.74 ; 53.52 ; 140.25 ; 141.5 ; 9.025 
2016;11;6; 83.77 ; 54.43 ; 138.58 ; 141.92 ; 8.77 
2016;11;7; 89.78 ; 53.99 ; 137.15 ; 141.6 ; 9.38 
2016;11;8; 92.04 ; 53.46 ; 139.49 ; 146.51 ; 9.64 
2016;11;9; 93.39 ; 53.38 ; 138.8 ; 147.12 ; 9.24 
2016;11;10; 93.25 ; 53.57 ; 139.07 ; 148.21 ; 94.482 
2016;11;11; 93.46 ; 52.78 ; 138.15 ; 148.44 ; 9.38 
2016;11;12; 93.77 ; 53.15 ; 137.45 ; 147.3 ; 9.13 
2016;11;13; 93.5 ; 53.23 ; 138.24 ; 146.83 ; 8.788 
2016;11;14; 93.01 ; 53.19 ; 135.77 ; 145.18 ; 8.34 
2016;11;15; 93.13 ; 53.2 ; 137.39 ; 147.21 ; 8.16 
2016;11;16; 93.4 ; 53.83 ; 139.37 ; 147.9 ; 8.14 
2016;11;17; 94.81 ; 53.14 ; 136.62 ; 149.61 ; 8.22 
2016;11;18; 95.96 ; 54.69 ; 140 ; 150 ; 8.31 
2016;11;19; 95.51 ; 54 ; 138.39 ; 149 ; 8.3 
2016;11;20; 94 ; 53.82 ; 138 ; 149.83 ; 8.4 
2016;11;21; 95.75 ; 54.94 ; 136.3 ; 151.59 ; 8.45 
2016;12;1; 96 ; 54.01 ; 137.18 ; 150.74 ; 8.51 
2016;12;2; 95.36 ; 54.2 ; 136 ; 152.45 ; 8.4 
2016;12;3; 95.87 ; 55.03 ; 137.66 ; 153.24 ; 8.4 
2016;12;4; 94.1 ; 55.07 ; 140.95 ; 150.84 ; 83.401 
2016;12;5; 95.25 ; 56.32 ; 141.15 ; 151.67 ; 8.425 
2016;12;6; 97.26 ; 56.66 ; 143.896 ; 154.6 ; 8.43 
2016;12;7; 96.23 ; 56.82 ; 140.6 ; 155.65 ; 8.28 
2016;12;8; 96.01 ; 57.07 ; 140.67 ; 156 ; 8.34 
2016;12;9; 95.74 ; 57.04 ; 144.88 ; 159.1 ; 8.5 
2016;12;10; 95.77 ; 58 ; 142.3 ; 156.23 ; 8.59 
2016;12;11; 93.8 ; 57.88 ; 141.88 ; 153.93 ; 8.28 
2016;12;12; 94.35 ; 58.1 ; 143.58 ; 153.88 ; 8.49 
2016;12;13; 91.93 ; 58.34 ; 143.8 ; 155.16 ; 84.599 
2016;12;14; 93.64 ; 58.13 ; 144.65 ; 156.96 ; 8.31 
2016;12;15; 94.26 ; 58.6 ; 147.49 ; 156.688 ; 8.42 
2016;12;16; 93.78 ; 58.52 ; 150 ; 158.5 ; 8.395 
2016;12;17; 93.79 ; 58.44 ; 147.38 ; 158.27 ; 8.4 
2016;12;18; 94.34 ; 58.41 ; 145.9 ; 158.41 ; 8.5 
2016;12;19; 94.6 ; 58.15 ; 146 ; 157.12 ; 8.28 
2016;12;20; 93.28 ; 58.16 ; 145.72 ; 156 ; 8.35 
2016;12;21; 93.04 ; 58.44 ; 146.95 ; 156.49 ; 8.205 
